,tconst,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes,numVotes,label
11,tt0013257,Häxan,Häxan,1922,\N,91,13679.0,True
12,tt0013556,Robin Hood,,1922,\N,143,2178.0,True
16,tt0014341,Our Hospitality,Our Hospitality,1923,\N,65,10911.0,True
19,tt0014538,Three Ages,,1923,\N,63,4312.0,True
50,tt0017925,The General,,1926,\N,67,87784.0,True
54,tt0018192,Napoleon,Napoléon vu par Abel Gance,1927,\N,330,7622.0,True
57,tt0018526,Úndérwớrld,,1927,\N,80,2912.0,True
64,tt0018806,The Crowd,The Crowd,\N,1928,98,8197.0,True
74,tt0019788,Coquette,Coquette,\N,1929,76,2127.0,False
112,tt0023871,Á Sớng ớf Lisbớn,A Canção de Lisboa,1933,\N,85,1432.0,True
117,tt0023969,Dúck Sớúp,Duck Soup,1933,\N,69,59069.0,True
138,tt0025410,Little Miss Marker,Little Miss Marker,1934,\N,80,1277.0,True
152,tt0026529,The Informer,The Informer,\N,1935,91,6255.0,True
168,tt0027914,Love on the Run,,1936,\N,80,1219.0,False
175,tt0028212,Sabotage,Sabotage,1936,\N,76,16166.0,True
177,tt0028249,Show Boat,,1936,\N,113,3236.0,True
191,tt0028944,The Good Earth,The Good Earth,\N,1937,138,4801.0,True
193,tt0029146,The Life of Emile Zola,The Life of Emile Zola,1937,\N,116,,True
198,tt0029314,Humanity and Paper Balloons,,1937,\N,86,1995.0,True
209,tt0029995,Thé Citádél,,1938,\N,110,2066.0,True
228,tt0031334,The Four Feathers,,1939,\N,129,5917.0,True
233,tt0031398,Gunga Din,,1939,\N,117,11628.0,True
254,tt0032181,Abe Lincoln in Illinois,,1940,\N,110,1792.0,True
293,tt0033774,Johnny Eager,,1941,\N,107,2986.0,True
305,tt0034241,Sun Valley Serenade,Sun Valley Serenade,1941,\N,86,1552.0,True
309,tt0034493,The Children Are Watching Us,I bambini ci guardano,1944,\N,84,2653.0,True
310,tt0034521,Black Dragons,,1942,\N,64,,False
