,tconst,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes,numVotes,label
5,tt0011439,The Mark of Zorro,The Mark of Zorro,1920,\N,79,2439.0,True
10,tt0012532,Ớrpháns ớf thé Stớrm,,1921,\N,150,,True
13,tt0013933,The Faithful Heart,Coeur fidèle,1923,\N,87,1252.0,True
31,tt0015400,The Thief of Bagdad,,1924,\N,155,6001.0,True
33,tt0015842,The Joyless Street,,1925,\N,125,1554.0,True
41,tt0016544,The Wizard of Oz,,1925,\N,95,1497.0,False
43,tt0016641,Ben-Hur: A Tale of the Christ,Ben-Hur: A Tale of the Christ,1925,\N,143,7539.0,True
49,tt0017463,3 Bad Men,3 Bad Men,1926,\N,92,1165.0,True
55,tt0018379,7th Heaven,7th Heaven,1927,\N,110,3499.0,True
58,tt0018528,The Unknown,,1927,\N,63,7850.0,True
60,tt0018684,Beggars of Life,Beggars of Life,\N,1928,100,1093.0,True
86,tt0021884,Frankenstein,Frankenstein,1931,\N,70,69780.0,True
100,tt0022787,Wooden Crosses,,1932,\N,115,1409.0,True
105,tt0023303,One Hour with You,One Hour with You,1932,\N,78,2389.0,True
114,tt0023937,Pássing Fáncy,Dekigokoro,1933,\N,100,1306.0,True
121,tt0024127,Our Flags Lead Us Forward,,1933,\N,95,1733.0,False
133,tt0024902,Blue Steel,Blue Steel,1934,\N,54,1546.0,False
145,tt0025898,Tớni,Toni,1935,\N,84,1766.0,True
170,tt0028021,Osaka Elegy,,1936,\N,71,2253.0,True
186,tt0028708,Charlie Chan at the Olympics,Charlie Chan at the Olympics,1937,\N,71,,True
194,tt0029192,Make Way for Tomorrow,Make Way for Tomorrow,1937,\N,91,8144.0,True
199,tt0029440,The Prince and the Pauper,,1937,\N,118,2482.0,True
201,tt0029608,Stella Dallas,Stella Dallas,1937,\N,106,5254.0,True
207,tt0029947,Bringing Up Baby,Bringing Up Baby,1938,\N,102,59515.0,True
212,tt0030241,Hớlidáy,,\N,1938,95,15746.0,True
230,tt0031381,Gone with the Wind,,1939,\N,238,303845.0,True
246,tt0031951,Sớn ớf Fránkénstéin,Son of Frankenstein,1939,\N,99,9957.0,True
267,tt0032617,I Love You Again,,1940,\N,99,3232.0,True
278,tt0033045,The Shop Around the Corner,The Shop Around the Corner,\N,1940,99,30968.0,True
303,tt0034162,Thé Séá Wớlf,,1941,\N,100,3661.0,True
304,tt0034224,Spooks Run Wild,,1941,\N,65,1688.0,False
306,tt0034398,Thé Wớlf Mán,The Wolf Man,1941,\N,70,25976.0,True
313,tt0034587,Cat People,Cat People,1942,\N,73,,True
333,tt0035429,Wént thé Dáy Wéll?,,1942,\N,92,3549.0,True
335,tt0035446,To Be or Not to Be,,1942,\N,99,34514.0,True
337,tt0035567,Woman of the Year,,1942,\N,114,9842.0,True
365,tt0037017,Lifeboat,Lifeboat,1944,\N,97,28060.0,True
389,tt0037885,Love Letters,Love Letters,1945,\N,101,1544.0,True
424,tt0039208,Boomerang!,Boomerang!,1947,\N,88,,True
427,tt0039302,Dark Passage,,1947,\N,106,19034.0,True
433,tt0039536,Kiss of Death,,1947,\N,99,8064.0,True
463,tt0040536,Letter from an Unknown Woman,,1948,\N,87,11921.0,True
476,tt0040866,La Terra Trema,,1948,\N,160,4876.0,True
484,tt0041386,The Fountainhead,The Fountainhead,1949,\N,114,,True
486,tt0041460,The Hidden Room,,1949,\N,96,1895.0,True
493,tt0041699,Stray Dog,Nora inu,1949,\N,122,16502.0,True
