,tconst,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes,numVotes,label
2,tt0009369,Mickey,Mickey,1918,\N,93,1119.0,False
15,tt0014142,The Hunchback of Notre Dame,,\N,1923,133,5288.0,True
21,tt0014945,Girl Shy,Girl Shy,1924,\N,87,3327.0,True
45,tt0017048,A Page of Madness,,1926,\N,70,3357.0,True
48,tt0017350,The Scarlet Letter,,1926,\N,115,1768.0,True
51,tt0017961,Happiness,,1935,\N,95,1080.0,True
52,tt0018054,Thé King ớf Kings,The King of Kings,1927,\N,160,2081.0,True
59,tt0018578,Wings,,1927,\N,144,,True
72,tt0019429,Street Angel,Street Angel,1928,\N,102,2314.0,True
79,tt0020768,City Girl,,1930,\N,77,3199.0,True
98,tt0022599,À Nous la Liberté,À nous la liberté,1931,\N,104,4392.0,True
154,tt0027075,A Tale of Two Cities,A Tale of Two Cities,1935,\N,128,5596.0,True
161,tt0027441,Charlie Chan at the Race Track,Charlie Chan at the Race Track,1936,\N,70,1461.0,True
184,tt0028575,Ángél,,1937,\N,91,2698.0,True
219,tt0031002,Thé Yớúng in Héárt,The Young in Heart,1938,\N,90,1332.0,True
220,tt0031022,The Adventures of Sherlock Holmes,,1939,\N,85,6616.0,True
221,tt0031088,Beau Geste,,1939,\N,112,,True
224,tt0031149,Charlie Chan in Reno,Charlie Chan in Reno,1939,\N,71,1366.0,True
241,tt0031754,On Borrowed Time,On Borrowed Time,1939,\N,99,1896.0,True
245,tt0031867,The Roaring Twenties,,1939,\N,106,13611.0,True
264,tt0032484,Foreign Correspondent,Foreign Correspondent,1940,\N,120,19974.0,True
269,tt0032701,The Letter,The Letter,1940,\N,95,12714.0,True
284,tt0033477,Come Live with Me,,1941,\N,86,2011.0,True
285,tt0033532,All That Money Can Buy,All That Money Can Buy,\N,1941,107,4908.0,True
288,tt0033677,The Great Lie,,1941,\N,108,3811.0,True
296,tt0033836,The Little Foxes,,1941,\N,116,11473.0,True
298,tt0033873,Man Hunt,Man Hunt,\N,1941,105,5231.0,True
299,tt0033874,The Man Who Came to Dinner,The Man Who Came to Dinner,1942,\N,112,7446.0,True
315,tt0034694,Édgé ớf Dárknéss,,1943,\N,119,2249.0,True
332,tt0035417,The Talk of the Town,,1942,\N,118,8004.0,True
344,tt0036098,Lassie Come Home,,1943,\N,89,5312.0,True
349,tt0036342,Shadow of a Doubt,,1943,\N,108,63245.0,True
353,tt0036430,This Is thé Ármy,,1943,\N,121,1125.0,False
376,tt0037323,The Fighting Sullivans,,1944,\N,112,2182.0,True
378,tt0037415,Thé Úninvitéd,,1944,\N,99,10837.0,True
402,tt0038559,Gilda,,1946,\N,110,31218.0,True
419,tt0038975,The Spiral Staircase,The Spiral Staircase,1946,\N,83,9752.0,True
443,tt0039677,Odd Man Out,,1947,\N,116,9778.0,True
459,tt0040495,Johnny Belinda,Johnny Belinda,1948,\N,102,4659.0,True
499,tt0041928,The Stratton Story,The Stratton Story,1949,\N,106,,True
500,tt0041954,Ténsiớn,,1949,\N,95,2841.0,True
506,tt0042210,Utopia,,1950,\N,100,1961.0,False
521,tt0042898,The Rocking Horse Winner,The Rocking Horse Winner,\N,1949,91,1137.0,True
524,tt0042994,Stage Fright,,1950,\N,110,13796.0,True
527,tt0043137,Winchester '73,,1950,\N,92,19181.0,True
555,tt0044406,Bela Lugosi Meets a Brooklyn Gorilla,,1952,\N,74,2431.0,False
556,tt0044418,Big Jim McLáin,Big Jim McLain,1952,\N,90,2109.0,False
573,tt0045161,The Sniper,,1952,\N,88,3221.0,True
584,tt0045555,The Big Heat,,1953,\N,89,25741.0,True
591,tt0045883,Hondo,,1953,\N,83,10528.0,True
597,tt0046031,The Man Between,The Man Between,1953,\N,100,1985.0,True
599,tt0046183,Pétér Pán,,1953,\N,77,133598.0,True
606,tt0046511,Journey to Italy,Viaggio in Italia,1954,\N,85,10024.0,True
607,tt0046672,"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea",1954,\N,127,32615.0,True
621,tt0047444,Samurai I: Musashi Miyamoto,,1954,\N,93,8299.0,True
631,tt0047834,Animal Farm,Animal Farm,1954,\N,72,16651.0,True
634,tt0047892,Bớb lé Flámbéúr,Bob le flambeur,1956,\N,98,11596.0,True
637,tt0048002,Don Camillo e l'on. Peppone,,1955,\N,97,2039.0,True
642,tt0048275,Merry-Go-Round,,1956,\N,95,1388.0,True
659,tt0048641,Smiles of a Summer Night,Sommarnattens leende,1955,\N,109,13273.0,True
660,tt0048673,Summertime,Summertime,1955,\N,102,8261.0,True
661,tt0048682,Swamp Women,Swamp Women,1956,\N,84,1842.0,False
665,tt0048820,Princess Yang Kwei-fei,,1955,\N,98,1812.0,True
667,tt0048947,Anastasia,Anastasia,1956,\N,105,8251.0,True
669,tt0048981,The Band of Honest Men,La banda degli onesti,1956,\N,106,1386.0,True
685,tt0049470,The Man Who Knew Too Much,The Man Who Knew Too Much,1956,\N,120,62173.0,True
703,tt0049871,A Town Like Alice,A Town Like Alice,\N,1956,117,1579.0,True
728,tt0050783,Nights of Cabiria,Le notti di Cabiria,1957,\N,110,,True
738,tt0051082,Quiet Flows the Don,,1957,\N,330,,True
739,tt0051087,The Tin Star,The Tin Star,1957,\N,93,5635.0,True
752,tt0051792,The Music Room,,1958,\N,100,5731.0,True
755,tt0051899,Man of the West,,1958,\N,100,7608.0,True
761,tt0052017,Brink of Life,,1958,\N,84,2864.0,True
774,tt0052311,Touch of Evil,,1958,\N,95,102193.0,True
775,tt0052357,Vertigo,Vertigo,1958,\N,128,386315.0,True
782,tt0052611,The Giant Behemoth,,1959,\N,80,2531.0,False
784,tt0052654,The Bridge,Die Brücke,1959,\N,103,7593.0,True
805,tt0053050,Marie-Octobre,,1959,\N,90,1173.0,True
814,tt0053241,Sántá Cláús,Santa Claus,1959,\N,94,4838.0,False
823,tt0053403,The Cow and I,La vache et le prisonnier,1959,\N,118,1408.0,True
834,tt0053651,Béyớnd thé Timé Bárriér,,1960,\N,75,1452.0,False
839,tt0053779,La Dolce Vita,La dolce vita,1960,\N,174,70579.0,True
859,tt0054195,Pớllyánná,Pollyanna,\N,1960,134,,True
860,tt0054198,Névér ớn Súndáy,Pote tin Kyriaki,1960,\N,91,5559.0,True
868,tt0054333,Horrors of Spider Island,,1960,\N,89,3926.0,False
879,tt0054476,Wild River,,1960,\N,110,5157.0,True
888,tt0054745,Chronicle of a Summer,Chronique d'un été (Paris 1960),1961,\N,85,2870.0,True
900,tt0055153,Mớthér Jớán ớf thé Ángéls,Matka Joanna od Aniolów,1961,\N,110,3154.0,True
917,tt0055614,West Side Story,West Side Story,1961,\N,153,104194.0,True
920,tt0055724,The Expedition,Abhijaan,1962,\N,150,1171.0,True
922,tt0055796,Billy Búdd,Billy Budd,\N,1962,123,4216.0,True
925,tt0055830,Carnival of Souls,,1962,\N,78,23396.0,True
928,tt0055884,Dámn thé Défiánt!,H.M.S. Defiant,\N,1962,101,,True
931,tt0055972,Experiment in Terror,,1962,\N,123,5071.0,True
956,tt0056444,An Autumn Afternoon,Sanma no aji,1962,\N,113,8764.0,True
959,tt0056628,"The Stars Will Tell, Inspector Palmu","Tähdet kertovat, komisario Palmu.",1962,\N,100,1155.0,True
963,tt0056825,America America,America America,1963,\N,174,5338.0,True
969,tt0056966,Fámily Pớrtráit,,1962,\N,113,,True
971,tt0056983,Dementia 13,,1963,\N,75,,False
1023,tt0058382,Murder Ahoy,Murder Ahoy,1964,\N,93,5025.0,True
1024,tt0058384,Muscle Beach Party,,1964,\N,95,1579.0,False
1039,tt0058642,Shadows of Forgotten Ancestors,,1965,\N,97,6723.0,True
1049,tt0059037,The Cincinnati Kid,,1965,\N,102,16161.0,True
1058,tt0059260,Help!,Help!,1965,\N,92,19371.0,True
1060,tt0059309,In Hárm's Wáy,In Harm's Way,1965,\N,165,,True
1069,tt0059573,A Patch of Blue,A Patch of Blue,1965,\N,105,8037.0,True
1076,tt0059740,The Sons of Katie Elder,,1965,\N,122,16891.0,True
1080,tt0059855,Havoc in Heaven,Da nao tian gong,1963,\N,114,1942.0,True
1084,tt0059893,Waqt,,1965,\N,178,,True
1090,tt0060186,"Boy, Did I Get a Wrong Number!",,\N,1966,99,1096.0,False
1102,tt0060560,Thé Pớrnớgráphérs,Erogotoshi-tachi yori: Jinruigaku nyûmon,1966,\N,128,2271.0,True
