,tconst,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes,numVotes,label
4,tt0010600,The Doll,Die Puppe,1919,\N,66,1898.0,True
7,tt0011841,Way Down East,Way Down East,1920,\N,145,5376.0,True
9,tt0012494,Déstiny,Der müde Tod,1921,\N,97,5842.0,True
25,tt0015163,The Navigator,The Navigator,1924,\N,59,9652.0,True
38,tt0016220,The Phantom of the Opera,The Phantom of the Opera,1925,\N,93,17887.0,True
42,tt0016630,Báttling Bútlér,Battling Butler,1926,\N,77,3285.0,True
81,tt0021015,Juno and the Paycock,,1929,\N,85,2275.0,False
118,tt0023973,Thé Éáglé ánd thé Háwk,,1933,\N,73,,True
119,tt0023986,Émplớyéés' Éntráncé,,1933,\N,75,,True
123,tt0024184,The Invisible Man,The Invisible Man,1933,\N,71,33562.0,True
125,tt0024216,King Kong,King Kong,1933,\N,100,83177.0,True
135,tt0025028,Dames,,1934,\N,91,2038.0,True
163,tt0027478,The Crime of Monsieur Lange,Le crime de Monsieur Lange,1936,\N,80,,True
180,tt0028333,Swing Timé,,1936,\N,103,,True
215,tt0030341,The Lady Vanishes,The Lady Vanishes,1938,\N,96,50707.0,True
222,tt0031143,The Cat and the Canary,,1939,\N,72,2967.0,True
231,tt0031385,"Goodbye, Mr. Chips",,1939,\N,114,10311.0,True
239,tt0031647,Midnight,,1939,\N,94,4904.0,True
242,tt0031762,Only Angels Have Wings,,1939,\N,121,13595.0,True
253,tt0032156,The Story of the Last Chrysanthemum,Zangiku monogatari,1939,\N,143,3600.0,True
265,tt0032520,The Ghost Breakers,,1940,\N,85,3378.0,True
272,tt0032904,The Philadelphia Story,,\N,1940,112,66874.0,True
276,tt0033022,Sáps át Séá,Saps at Sea,1940,\N,56,2766.0,True
279,tt0033152,The Thief of Bagdad,,\N,1940,106,12840.0,True
300,tt0033945,Never Give a Sucker an Even Break,,1941,\N,71,2315.0,True
317,tt0034862,Holiday Inn,Holiday Inn,1942,\N,100,14436.0,True
321,tt0035009,The Mad Monster,,1942,\N,77,1720.0,False
348,tt0036260,Phantom Lady,Phantom Lady,1944,\N,87,4833.0,True
357,tt0036716,Cobra Woman,Cobra Woman,1944,\N,71,1101.0,False
367,tt0037055,The Mask of Dimitrios,,1944,\N,95,3530.0,True
390,tt0037913,Mildréd Piércé,Mildred Pierce,1945,\N,111,24727.0,True
391,tt0037939,The Naughty Nineties,The Naughty Nineties,1945,\N,76,1957.0,True
394,tt0038057,Scarlet Street,,1945,\N,102,15930.0,True
400,tt0038355,The Big Sleep,,1946,\N,114,83357.0,True
407,tt0038733,Stáirwáy tớ Héávén,A Matter of Life and Death,1946,\N,104,21218.0,True
428,tt0039305,Dead Reckoning,,\N,1947,100,7368.0,True
437,tt0039631,Monsieur Verdoux,,1947,\N,124,16962.0,True
442,tt0039676,The October Man,The October Man,\N,1947,95,1260.0,True
466,tt0040626,My Dear Secretary,My Dear Secretary,1948,\N,94,,False
471,tt0040724,Réd Rivér,,1948,\N,133,30065.0,True
473,tt0040737,Bitter Rice,,1949,\N,108,4052.0,True
474,tt0040795,Sitting Pretty,,1948,\N,83,2332.0,True
475,tt0040843,The Street with No Name,The Street with No Name,1948,\N,91,2910.0,True
480,tt0040970,The Winslow Boy,,1948,\N,117,1422.0,True
511,tt0042395,Dévil's Dớớrwáy,,1950,\N,84,1544.0,True
513,tt0042451,Father of the Bride,,1950,\N,92,10941.0,True
517,tt0042742,Mister 880,Mister 880,1950,\N,90,1519.0,True
519,tt0042792,No Way Out,No Way Out,1950,\N,106,4931.0,True
528,tt0043278,An American in Paris,,1951,\N,114,32528.0,True
530,tt0043332,Beautiful,,1951,\N,114,4439.0,True
540,tt0043769,The Magic Box,,1951,\N,118,1241.0,True
545,tt0043918,Thé Littlé Wớrld ớf Dớn Cámillớ,Don Camillo,1952,\N,107,4348.0,True
546,tt0043927,La Poison,La poison,1951,\N,85,1262.0,True
575,tt0045205,Sudden Fear,Sudden Fear,1952,\N,110,5993.0,True
583,tt0045554,Welcome Mr. Marshall!,"Bienvenido, Mister Marshall!",1953,\N,78,4153.0,True
586,tt0045793,From Here to Eternity,,1953,\N,118,45651.0,True
600,tt0046248,Robot Monster,Robot Monster,1953,\N,66,4924.0,False
623,tt0047494,The Silver Chalice,,1954,\N,142,1562.0,False
629,tt0047647,Vera Cruz,Vera Cruz,1954,\N,94,9802.0,True
645,tt0048337,A Man Called Peter,A Man Called Peter,1955,\N,119,1007.0,True
646,tt0048342,The Man from Laramie,The Man from Laramie,1955,\N,103,10440.0,True
648,tt0048380,Mister Roberts,,1955,\N,123,16258.0,True
697,tt0049783,The Forty-First,Sorok pervyy,\N,1956,88,1484.0,True
706,tt0050105,An Affair to Remember,,\N,1957,115,29423.0,True
713,tt0050356,The Enemy Below,,1957,\N,98,10685.0,True
730,tt0050858,The Pride and the Passion,,1957,\N,132,2733.0,False
736,tt0051047,The Tall T,,\N,1957,78,5001.0,True
740,tt0051337,Thé 7th Vớyágé ớf Sinbád,,1958,\N,88,12888.0,True
746,tt0051507,Curse of the Faceless Man,,\N,1958,67,1035.0,False
766,tt0052151,Run Silent Run Deep,,1958,\N,93,11169.0,True
768,tt0052188,She Gods of Shark Reef,She Gods of Shark Reef,1958,\N,63,1002.0,False
783,tt0052646,The Brain That Wouldn't Die,,\N,1962,82,6802.0,False
789,tt0052735,The Devil's Disciple,,1959,\N,83,2382.0,True
795,tt0052876,The Hanging Tree,,1959,\N,107,4083.0,True
807,tt0053121,Fires on the Plain,,1959,\N,108,,True
811,tt0053183,Pork Chop Hill,,1959,\N,97,4527.0,True
815,tt0053242,Sápphiré,,1959,\N,92,1730.0,True
838,tt0053765,The Goddess,,1960,\N,93,2182.0,True
840,tt0053796,The Entertainer,The Entertainer,1960,\N,96,3278.0,True
846,tt0053967,The Young One,The Young One,1960,\N,96,2716.0,True
858,tt0054189,Purple Noon,,1960,\N,118,15669.0,True
872,tt0054387,The Time Machine,,1960,\N,103,39561.0,True
876,tt0054412,Tunes of Glory,Tunes of Glory,1960,\N,107,,True
897,tt0055032,Jules and Jim,Jules et Jim,1962,\N,105,40021.0,True
907,tt0055294,The Phantom Planet,,1961,\N,82,2898.0,False
938,tt0056059,Hatari!,,1962,\N,157,12556.0,True
947,tt0056215,Mamma Roma,,1962,\N,106,8890.0,True
957,tt0056537,Subarnarekha,,1965,\N,143,1035.0,True
962,tt0056732,The Exterminating Angel,El ángel exterminador,1962,\N,95,32160.0,True
977,tt0057180,The Incredible Journey,,\N,1963,80,4480.0,True
981,tt0057239,The L-Shaped Room,,1962,\N,126,1905.0,True
983,tt0057344,Any Number Can Win,,1963,\N,118,3390.0,True
986,tt0057490,The Servant,The Servant,1963,\N,116,11433.0,True
989,tt0057530,A Stitch in Time,A Stitch in Time,1963,\N,89,1122.0,True
994,tt0057579,The Three Lives of Thomasina,,1963,\N,97,2287.0,True
1002,tt0057859,Monstrosity,,1963,\N,65,2705.0,False
1005,tt0057933,The Chalk Garden,,1964,\N,106,2091.0,True
1010,tt0058050,The Earth Dies Screaming,,1964,\N,62,1727.0,False
1016,tt0058213,"Hush...Hush, Sweet Charlotte","Hush...Hush, Sweet Charlotte",1964,\N,133,14036.0,True
1025,tt0058390,The Naked Kiss,,1964,\N,90,7570.0,True
1035,tt0058576,Seven Days in May,Seven Days in May,1964,\N,118,15215.0,True
1051,tt0059124,Dr. Goldfoot and the Bikini Machine,,1965,\N,88,2181.0,False
1059,tt0059287,How to Stuff a Wild Bikini,How to Stuff a Wild Bikini,1965,\N,93,1450.0,False
1085,tt0060074,Agent for H.A.R.M.,Agent for H.A.R.M.,1966,\N,84,1444.0,False
1087,tt0060165,A Big Hand for the Little Lady,,1966,\N,95,,True
1099,tt0060474,La Grande Vadrouille,La grande vadrouille,1966,\N,132,17162.0,True
1105,tt0060635,Dragon Inn,Long men kezhan,1967,\N,111,2728.0,True
1124,tt0061197,Winnetou and the Crossbreed,Winnetou und das Halbblut Apanatschi,1966,\N,90,,False
1136,tt0061489,Clambake,Clambake,1967,\N,99,,False
1154,tt0061759,The Hellcats,The Hellcats,1968,\N,90,1803.0,False
1162,tt0061855,When I Am Dead and Gone,,1967,\N,79,1180.0,True
1164,tt0061955,The Bride Wore Black,,1968,\N,107,9110.0,True
1166,tt0061994,Plucked,,1968,\N,86,1400.0,False
1175,tt0062229,Le Samouraï,,1967,\N,105,49085.0,True
1191,tt0062765,Búllitt,Bullitt,\N,1968,114,66228.0,True
1201,tt0063023,The Adventures of Goopy and Bagha,,1969,\N,132,2405.0,True
1214,tt0063288,Be Sick... It's Free,Il medico della mutua,1968,\N,98,1498.0,True
1233,tt0063845,The Golden Calf,,1968,\N,164,2712.0,True
1239,tt0064107,A Boy Named Charlie Brown,A Boy Named Charlie Brown,1969,\N,86,4856.0,True
1242,tt0064155,Charro!,,1969,\N,98,1920.0,False
1281,tt0065446,The Ballad of Cable Hogue,,\N,1970,121,9288.0,True
1297,tt0065969,The Last Valley,,1971,\N,125,3125.0,True
1309,tt0066289,The Cruise,Rejs,1970,\N,65,3318.0,True
1316,tt0066498,The Ear,Ucho,1990,\N,94,2763.0,True
1347,tt0067108,Delusions of Grandeur,,1971,\N,108,6943.0,True
1354,tt0067227,Thé Mérchánt ớf Fớúr Séásớns,,1972,\N,88,4616.0,True
1363,tt0067464,The Girl on a Broomstick,Dívka na kosteti,1972,\N,76,1251.0,True
1364,tt0067487,The Night Evelyn Came Out of the Grave,La notte che Evelyn uscì dalla tomba,\N,1971,103,2435.0,False
1378,tt0067814,Love,Szerelem,1971,\N,88,,True
