,tconst,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes,numVotes,label
29,tt0015224,Peter Pan,,1924,\N,105,1042.0,True
35,tt0015864,The Gold Rush,,1925,\N,95,107475.0,True
37,tt0016029,The Little Colonel,,1935,\N,81,1646.0,True
82,tt0021309,The Story of the Fox,Le roman de Renard,1937,\N,63,,True
93,tt0022395,The Skin Game,,1931,\N,85,,False
96,tt0022485,Tokyo Chorus,,\N,1931,90,1364.0,True
97,tt0022550,Waterloo Bridge,Waterloo Bridge,1931,\N,81,2828.0,True
101,tt0022802,The Dark Horse,,1932,\N,75,1232.0,True
102,tt0022913,Freaks,,1932,\N,64,44794.0,True
108,tt0023634,"I Wás Bớrn, Bút...",,1932,\N,100,5332.0,True
110,tt0023686,Whát Pricé Hớllywớớd?,,1932,\N,88,2294.0,True
124,tt0024188,Islánd ớf Lớst Sớúls,,1932,\N,70,9091.0,True
127,tt0024264,Little Women,Little Women,1933,\N,115,,True
130,tt0024617,The Story of Temple Drake,The Story of Temple Drake,\N,1933,70,1448.0,True
131,tt0024844,L'Atalante,,1934,\N,89,15408.0,True
132,tt0024852,March of the Wooden Soldiers,,1934,\N,77,6625.0,True
134,tt0024966,Chápáyév,Chapaev,1934,\N,93,1249.0,True
149,tt0026104,Becky Sharp,,1935,\N,84,1074.0,False
185,tt0028683,Camille,,1936,\N,109,7823.0,True
200,tt0029442,The Prisoner of Zenda,The Prisoner of Zenda,1937,\N,101,,True
206,tt0029942,Boys Town,Boys Town,1938,\N,96,5544.0,True
237,tt0031580,The Little Princess,The Little Princess,1939,\N,93,5980.0,True
240,tt0031750,The Old Maid,,1939,\N,95,3676.0,True
247,tt0031971,Stagecoach,,1939,\N,96,46868.0,True
251,tt0032152,You Can't Cheat an Honest Man,,1939,\N,79,,True
252,tt0032155,Yớúng Mr. Lincớln,,1939,\N,100,7926.0,True
258,tt0032325,Charlie Chan in Panama,Charlie Chan in Panama,\N,1940,67,1365.0,True
259,tt0032338,Christmas in July,,1940,\N,67,3706.0,True
281,tt0033253,The Westerner,The Westerner,\N,1940,100,5663.0,True
282,tt0033317,Adventures of Captain Marvel,Adventures of Captain Marvel,1941,\N,216,1268.0,True
283,tt0033373,Báll ớf Firé,Ball of Fire,1941,\N,111,12007.0,True
291,tt0033723,Hold That Ghost,,1941,\N,86,3699.0,True
311,tt0034546,Bớwéry át Midnight,,1942,\N,61,1090.0,False
323,tt0035017,Carnival of Sinners,,1943,\N,78,1378.0,True
329,tt0035211,Thé Pridé ớf thé Yánkéés,The Pride of the Yankees,\N,1942,128,10584.0,True
340,tt0035753,Le Corbeau,Le corbeau,1943,\N,92,9612.0,True
343,tt0035979,Heaven Can Wait,Heaven Can Wait,1943,\N,112,10637.0,True
370,tt0037077,The Miracle of Morgan's Creek,The Miracle of Morgan's Creek,1944,\N,98,7330.0,True
380,tt0037469,Thé Wớmán in thé Windớw,,1944,\N,107,15428.0,True
384,tt0037630,Les Dames du Bois de Boulogne,Les dames du Bois de Boulogne,1945,\N,86,4227.0,True
406,tt0038700,The Locket,The Locket,1946,\N,85,2567.0,True
408,tt0038762,My Darling Clementine,,\N,1946,97,22867.0,True
411,tt0038824,Panique,,1946,\N,99,1874.0,True
413,tt0038890,"Rome, Open City",Roma città aperta,\N,1945,103,25426.0,True
417,tt0038965,Somewhere in the Night,Somewhere in the Night,1946,\N,110,2811.0,True
420,tt0038991,The Stranger,,1946,\N,95,25729.0,True
439,tt0039661,Nightmare Alley,,1947,\N,110,8908.0,True
441,tt0039668,Nosotros los pobres,Nosotros los pobres,1948,\N,128,1034.0,True
453,tt0040068,Abbott and Costello Meet Frankenstein,,1948,\N,83,17153.0,True
490,tt0041513,Intruder in the Dust,Intruder in the Dust,1949,\N,87,2201.0,True
497,tt0041841,Sands of Iwo Jima,,1949,\N,100,10204.0,True
518,tt0042788,Night and the City,,1950,\N,101,13068.0,True
538,tt0043614,Thé Idiớt,,1951,\N,166,4929.0,True
557,tt0044420,The Big Trees,The Big Trees,1952,\N,89,1611.0,False
566,tt0044937,My Cớúsin Ráchél,My Cousin Rachel,\N,1952,98,2759.0,True
571,tt0045112,The Life of Oharu,Saikaku ichidai onna,1952,\N,148,,True
580,tt0045518,Arrowhead,Arrowhead,1953,\N,105,1399.0,False
610,tt0046816,The Caine Mutiny,The Caine Mutiny,1954,\N,124,26940.0,True
611,tt0046874,The Country Girl,,1954,\N,104,5845.0,True
612,tt0046878,Crime Wave,Crime Wave,1953,\N,73,3642.0,True
613,tt0046912,Dial M for Murder,,1954,\N,105,168570.0,True
615,tt0047094,Hobson's Choice,Hobson's Choice,1954,\N,108,7112.0,True
626,tt0047528,Lá Strádá,,1954,\N,108,61397.0,True
655,tt0048545,Rebel Without a Cause,,1955,\N,111,87634.0,True
670,tt0049010,Bigger Than Life,Bigger Than Life,1956,\N,95,,True
674,tt0049147,Dớbrý vớják Svéjk,Dobrý voják Svejk,1957,\N,108,1223.0,True
675,tt0049201,The Fastest Gun Alive,,1956,\N,89,3023.0,True
695,tt0049710,Samurai III: Duel at Ganryu Island,Miyamoto Musashi kanketsuhen: kettô Ganryûjima,1956,\N,105,5906.0,True
702,tt0049866,"Toto, Peppino, and the Hussy","Totò, Peppino e la... malafemmina",1956,\N,106,1806.0,True
707,tt0050147,Attack of the Crab Monsters,Attack of the Crab Monsters,1957,\N,63,3242.0,False
723,tt0050610,Kronos,Kronos,1957,\N,78,1763.0,False
742,tt0051398,The Barbarian and the Geisha,,1958,\N,105,1924.0,False
748,tt0051720,Equinox Flower,,1958,\N,118,,True
754,tt0051866,Thé Linéúp,,1958,\N,86,3601.0,True
763,tt0052077,Plan 9 from Outer Space,,1957,\N,79,37818.0,False
767,tt0052156,The Saga of the Viking Women and Their Voyage to the Waters of the Great Sea Serpent,The Saga of the Viking Women and Their Voyage to the Waters of the Great Sea Serpent,1957,\N,66,,False
772,tt0052286,Terror from the Year 5000,Terror from the Year 5000,1958,\N,66,1401.0,False
773,tt0052289,The Thing That Couldn't Die,,1958,\N,69,1720.0,False
776,tt0052378,Wár ớf thé Cớlớssál Béást,War of the Colossal Beast,1958,\N,69,2266.0,False
799,tt0052961,Kapo,,1960,\N,117,2232.0,True
