,tconst,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes,numVotes,label
14,tt0014109,The Saga of Gösta Berling,,1924,\N,183,1231.0,True
24,tt0015064,The Last Laugh,Der letzte Mann,1924,\N,77,,True
32,tt0015841,The Freshman,The Freshman,1925,\N,77,5374.0,True
47,tt0017271,By the Law,,\N,1926,80,1057.0,True
56,tt0018451,The Student Prince in Old Heidelberg,,1927,\N,106,1459.0,True
62,tt0018742,The Cameraman,The Cameraman,1928,\N,76,11388.0,True
69,tt0019379,Show People,,1928,\N,83,3695.0,True
76,tt0020018,In Old Arizona,,1928,\N,95,1049.0,False
80,tt0020793,Escape from Dartmoor,,1929,\N,88,1102.0,True
90,tt0022125,Marius,,1931,\N,130,2251.0,True
99,tt0022626,American Madness,,1932,\N,75,1996.0,True
107,tt0023622,Trouble in Paradise,,1932,\N,83,14090.0,True
113,tt0023876,Cavalcade,Cavalcade,\N,1933,112,5038.0,False
129,tt0024593,Son of Kong,,1933,\N,70,4501.0,False
136,tt0025164,Thé Gáy Divớrcéé,The Gay Divorcee,1934,\N,107,,True
164,tt0027532,Dớdswớrth,,1936,\N,101,8817.0,True
169,tt0027977,Modern Times,,1936,\N,87,231243.0,True
171,tt0028070,Our Relations,,\N,1936,71,3077.0,True
179,tt0028315,Stớwáwáy,,1936,\N,87,1323.0,True
189,tt0028773,Dead End,Dead End,1937,\N,93,,True
190,tt0028816,Easy Living,Easy Living,1937,\N,88,3417.0,True
203,tt0029747,Wáy Ớút Wést,Way Out West,1937,\N,66,8109.0,True
204,tt0029844,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,1938,\N,91,1967.0,True
208,tt0029957,La Bête Humaine,,1938,\N,100,7375.0,True
211,tt0030127,The Baker's Wife,,\N,1938,133,1991.0,True
217,tt0030637,Pygmalion,,\N,1938,96,8475.0,True
225,tt0031210,Dark Victory,Dark Victory,\N,1939,104,10794.0,True
226,tt0031225,Déstry Ridés Ágáin,Destry Rides Again,1939,\N,95,11094.0,True
244,tt0031851,Thé Rétúrn ớf Dớctớr X,The Return of Doctor X,1939,\N,62,2157.0,False
248,tt0032080,Union Pacific,,1939,\N,135,2941.0,True
260,tt0032339,A Chump at Oxford,A Chump at Oxford,1939,\N,62,3834.0,True
261,tt0032390,The Devil Bat,The Devil Bat,1940,\N,68,2946.0,False
268,tt0032653,Jud Süß,,1940,\N,98,3135.0,False
290,tt0033722,Hold Back the Dawn,,1941,\N,116,2358.0,True
294,tt0033787,King of the Zombies,King of the Zombies,1941,\N,67,2150.0,False
318,tt0034890,In This Our Life,,1942,\N,97,4742.0,True
330,tt0035228,The Courtyard of the Ballads,,1942,\N,121,1192.0,True
341,tt0035939,Ghosts on the Loose,Ghosts on the Loose,1943,\N,67,,False
342,tt0035966,Hangmen Also Die!,Hangmen Also Die!,1943,\N,134,5268.0,True
356,tt0036653,Bluebeard,Bluebeard,1944,\N,72,1823.0,False
360,tt0036855,Gaslight,,1944,\N,114,27003.0,True
362,tt0036922,Hollywood Canteen,Hollywood Canteen,1944,\N,124,2160.0,True
383,tt0037614,The Corn Is Green,The Corn Is Green,1945,\N,115,2845.0,True
399,tt0038348,Beauty and the Beast,La belle et la bête,1946,\N,96,25773.0,True
429,tt0039370,The Farmer's Daughter,,1947,\N,97,2514.0,True
431,tt0039420,The Ghost and Mrs. Muir,The Ghost and Mrs. Muir,1947,\N,104,18151.0,True
446,tt0039737,Pursued,Pursued,1947,\N,101,3148.0,True
455,tt0040321,Enchantment,,1948,\N,100,1142.0,True
456,tt0040338,The Fallen Idol,The Fallen Idol,1948,\N,95,8372.0,True
458,tt0040427,He Walked by Night,He Walked by Night,1948,\N,79,5714.0,True
468,tt0040662,Ớlivér Twist,,1948,\N,116,12121.0,True
469,tt0040705,Portrait of Jennie,,1948,\N,86,6688.0,True
477,tt0040872,They Live by Night,,\N,1948,95,7917.0,True
488,tt0041487,Hớúsé ớf Strángérs,House of Strangers,1949,\N,101,3306.0,True
496,tt0041786,The Reckless Moment,,1949,\N,82,4801.0,True
520,tt0042876,Rashomon,Rashômon,1950,\N,88,161820.0,True
522,tt0042906,La Ronde,La ronde,1950,\N,93,5243.0,True
525,tt0043014,Súnsét Blvd.,Sunset Blvd.,1950,\N,110,213309.0,True
585,tt0045693,Do Bigha Zamin,,1953,\N,131,1970.0,True
592,tt0045897,I Cớnféss,,1953,\N,95,20385.0,True
605,tt0046451,Touchez Pas au Grisbi,,1954,\N,94,7466.0,True
609,tt0046757,Beachhead,Beachhead,1954,\N,90,1030.0,False
622,tt0047478,Seven Samurai,,1954,\N,207,332152.0,True
624,tt0047507,The Snow Creature,,\N,1954,69,1058.0,False
627,tt0047573,Them!,,1954,\N,94,21361.0,True
635,tt0047898,Bride of the Monster,Bride of the Monster,1955,\N,69,7039.0,False
639,tt0048028,East of Eden,East of Eden,\N,1955,118,43999.0,True
640,tt0048055,The Far Country,,1954,\N,97,7308.0,True
643,tt0048308,Lola Montès,Lola Montès,1955,\N,116,5254.0,True
662,tt0048729,To Hell and Back,,1955,\N,106,5239.0,True
678,tt0049259,Gervaise,,1956,\N,112,1420.0,True
680,tt0049287,Gunslinger,Gunslinger,1956,\N,78,1623.0,False
682,tt0049293,The Captain from Köpenick,,1956,\N,93,1644.0,True
690,tt0049552,Nightfall,Nightfall,1956,\N,78,3908.0,True
696,tt0049777,The Solid Gold Cadillac,,1956,\N,99,1728.0,True
716,tt0050414,From Hell It Came,From Hell It Came,1957,\N,71,1780.0,False
719,tt0050539,The Incredible Shrinking Man,The Incredible Shrinking Man,1957,\N,81,17367.0,True
733,tt0051003,The Spirit of St. Louis,,\N,1957,135,7815.0,True
745,tt0051484,Thé Cớlớssús ớf Néw Yớrk,,1958,\N,70,1074.0,False
750,tt0051776,The Inn of the Sixth Happiness,,1958,\N,158,4795.0,True
751,tt0051790,"Iván thé Térriblé, Párt II: Thé Bớyárs' Plớt",,1958,\N,88,7189.0,True
757,tt0051959,Murder by Contract,,1958,\N,81,3438.0,True
792,tt0052809,The Five Pennies,The Five Pennies,1959,\N,117,1921.0,True
803,tt0053003,Libel,Libel,1959,\N,100,,True
812,tt0053198,The 400 Blows,,1959,\N,99,112705.0,True
869,tt0054353,Thé Súndớwnérs,The Sundowners,1960,\N,133,4101.0,True
871,tt0054358,Sword of Sherwood Forest,,1960,\N,80,1276.0,False
880,tt0054599,Accattone,,1961,\N,117,8217.0,True
902,tt0055233,Thé Húmán Cớnditiớn III: Á Sớldiér's Práyér,Ningen no jôken,1961,\N,190,5864.0,True
903,tt0055254,One Hundred and One Dalmatians,One Hundred and One Dalmatians,1961,\N,79,161433.0,True
904,tt0055256,"One, Two, Three",,1961,\N,104,20572.0,True
913,tt0055562,Invasion of the Neptune Men,Uchû Kaisokusen,1961,\N,75,2743.0,False
935,tt0056048,Gypsy,Gypsy,1962,\N,143,6095.0,True
936,tt0056049,The Naked Island,Hadaka no shima,1960,\N,96,,True
941,tt0056134,Kanchenjungha,Kanchenjungha,1962,\N,102,1085.0,True
945,tt0056196,Long Day's Journey Into Night,Long Day's Journey Into Night,1962,\N,174,5004.0,True
951,tt0056291,Knife in the Water,Nóz w wodzie,1962,\N,94,21358.0,True
979,tt0057229,Thé Réd Lántérns,Ta kokkina fanaria,1963,\N,132,1790.0,True
982,tt0057336,Muriel,,\N,1963,117,3043.0,True
985,tt0057427,The Trial,Le procès,1962,\N,119,20750.0,True
992,tt0057569,The Terror,The Terror,1963,\N,81,7497.0,False
993,tt0057578,This Spớrting Lifé,,1963,\N,134,6365.0,True
1022,tt0058331,Mary Poppins,,1964,\N,139,165535.0,True
1041,tt0058863,The 317th Platoon,,1965,\N,100,1297.0,True
1043,tt0058888,Red Beard,Akahige,1965,\N,185,18361.0,True
1046,tt0058985,Le Bonheur,,1965,\N,80,6990.0,True
1068,tt0059563,"Paradise, Hawaiian Style",,1966,\N,91,2045.0,False
1074,tt0059712,Ship of Fools,,1965,\N,149,5825.0,True
1095,tt0060429,Frankie and Johnny,,1966,\N,87,1995.0,False
1107,tt0060668,Márát/Sádé,,1967,\N,119,2453.0,True
1112,tt0060908,King of Hearts,,1966,\N,102,3902.0,True
1132,tt0061418,Bonnie and Clyde,Bonnie and Clyde,1967,\N,111,,True
1138,tt0061520,Corruption,Corruption,1968,\N,91,1298.0,False
1139,tt0061537,The Red and the White,,\N,1967,90,3402.0,True
1145,tt0061597,The One-Armed Swordsman,,1967,\N,115,3109.0,True
1147,tt0061620,Elvira Madigan,,1967,\N,91,,True
1153,tt0061758,Hells Angels on Wheels,,1967,\N,95,2411.0,False
1157,tt0061789,How I Won the War,,1967,\N,109,2318.0,False
1168,tt0062032,Succubus,,1968,\N,84,1090.0,False
1181,tt0062374,Titicút Fớlliés,,1967,\N,84,4430.0,True
1193,tt0062808,The Girl from Rio,,1969,\N,94,1011.0,False
1196,tt0062900,They Call Us Misfits,Dom kallar oss mods,\N,1968,100,1483.0,True
1197,tt0062952,Faces,,1968,\N,130,10291.0,True
1217,tt0063456,Pretty Poison,,1968,\N,89,3549.0,True
1221,tt0063493,Reconstruction,,1968,\N,100,1549.0,True
1223,tt0063518,Romeo and Juliet,,1968,\N,138,30904.0,True
